Чего ты смеёшься?	Цæуыл худыс?
Этот нож очень острый.	Ацы кард тынг цыргъ у.
У кошки девять жизней.	Гæдыйæн фараст царды ис.
Сегодня облачно.	Абон у асæст.
Он был вождём своего племени 35 лет.	Уый йæ знæмы раздзог уыдис 35 азы дæргъы.
Мне кажется, что она заболела.	Мæнмæ афтæ кæсы, æмæ фæрынчын и.
Он прекрасно говорит по-русски.	Уырыссагау иттæг хорз дзуры.
Завтра будет идти дождь?	Райсом уардзæн?
Где ближайшая аптека?	Хæстæгдæр афтек кæм ис?
Чья это книга?	Кæй чиныг у?
Её глаза смеются.	Йæ цæстытæ худынц.
Наконец пятница.		Æгайтма майрæмбон у.
Я электрик.	Æз дæн электрик.
Лиса и медведь жили вместе.	Рувас æмæ арс цардысты иумæ.
Отнесите его обратно.	Фæстæмæ йæ ахæссут.
Отнесите её обратно.	Фæстæмæ йæ ахæссут.
У каждой книги своя судьба.	Алы чиныгæн ис йæхи хъысмæт.
Когда начнётся состязание?	Ерыс кæд райдайдзæнис?
Мне нравится твоя машина.	Мæ зæрдæмæ цæуы дæ хæдтулгæ.
Слишком много болтаешь.	Æгæр бирæ дзæнгæда цæгъдыс.
Твои слова больно ранят.	Дæ ныхæстæ кардау цæвынц.
Когда он боролся с тобой, его сердце разрывалось пополам.	Демæ тох куы кодта, уæд йæ зæрдæ тъæппытæ хаудта.
Он испытывал боль и сострадание.	Уый æнкъардта рис æмæ тæригъæд.
Теперь я чувствую то же самое.	Ныр æз дæр уый æнкъарын.
Я рад, что всё кончилось именно так.	Æхсызгон мын у, хъуыддаг афтæ кæй фæцис.
Как бы мы ни противились этому — это факт.	Уый ныхмæ цасфæнды дæр лæууæм, уæддæр уый факт у.
У меня больше не болит голова.	Мæ сæр нал риссы.
Для всех народов были созданы школы, письменность, к ним пришли свет и образование.	Æппæт адæмтæн арæзт æрцыди скъолатæ, фыссынад, æрцыд сæм рухс æмæ ахуырад.
Школа работала и в военные годы, учителя вовремя получали зарплату.	Скъола куыста хæсты азты дæр, ахуыргæнджытæ афоныл истой сæ мызд.
Это странно.	Уый æнахуыр цыдæр у.
Я женщина.	Сылгоймаг дæн.
Я забыл его имя.	Йæ ном мæ ферох и.
Я забыл её имя.	Йæ ном мæ ферох и.
Я впервые был в Нью-Йорке.	Уыдтæн Нью-Йорчы фыццаг хатт.
У меня нет денег, но есть мечты.	Æхца мæм нæй, фæлæ мæм ис бæллицтæ.
Если хочешь хорошо изучить язык, изучи его сам.	Кæд дæ фæнды æвзаг хорз базонын, уæд дæхæдæг æй ахуыр кæн.
Слушай!	Байхъус!
Я объяснил ему это.	Уый йын бамбарын кодтон.
Мать несколько раз перечитала письмо сына.	Мад йæ фырты фыстæг цалдæр хатты фæкасти.
Всё получилось наоборот.	Алцыдæр зыгъуыммæ рауади.
Думаю, нам надо попробовать ещё раз.	Æнхъæлдæн, æмæ ногæй афæлварын нæ хъæуы.
Я вызвала полицию, как только увидела на полу его труп.	Йæ мард пъолыл куы федтон, уайтагъд пъæлицæмæ фæдзырдтон.
Мой отец поехал в Китай.	Мæ фыд ацыдис Китаймæ.
Куда он шёл?	Кæдæм цыдис?
Я не согласна.	Разы нæ дæн.
Я, как и вы, не спала в эти тяжёлые дни.	Æз дæр сымахау нæ фынæй кодтон уыцы уæззау бонты.
Я, как и вы, не спал в эти тяжёлые дни.	Æз дæр сымахау нæ фынæй кодтон уыцы уæззау бонты.
Кто-то позвонил.	Чидæр æрбадзырдта.
Сядьте, пожалуйста.	Сбад, дæ хорзæхæй.
Такого ты не видел даже во сне.	Уый ды дæ фыны дæр нæ федтай.
Такого ты не видела даже во сне.	Уый ды дæ фыны дæр нæ федтай.
Их было слишком много.	Æгæр бирæ уыдысты.
Их слишком много.	Æгæр бирæ сты.
Хорошо.	Хорз.
Хороший вопрос.	Хорз фарст.
Хорошая идея!	Хорз идейæ!
Очень хорошо.	Тынг хорз.
Хорошо. Прости.	Хорз. Хатыр.
Хорошо дома.	Нæхимæ хорз у.
Хороший мальчик.	Хорз лæппу.
Дорога хорошая?	Фæндаг хорз у?
Всё хорошо.	Алцыппæт у хорз.
Этот хороший.	Ай хорз у.
Еда хорошая.	Хæринаг хорз у.
Хорошее замечание.	Хорз фиппаинаг у.
Хорошее предложение.	Хорз хъуыдыйад у.
Жизнь хороша.	Цард у хорз.
Хочу хороший словарь.	Хорз дзырдуат мæ фæнды.
Эми — хорошая девочка.	Эми хорз чызг у.
Он хороший оратор.	Уый у хорз оратор.
Twitter недостаточно хорош.	Твиттер фаг хорз нæу.
Хорошо. Я согласен.	Хорз. Разы дæн.
Хорошо. А ты?	Хорз. Ды та?
Всё будет хорошо.	Алцыппæт уыдзæни хорз.
Я хороший таксист.	Дæн хорз таксист.
Очень хорошо, спасибо.	Тынг хорз, бузныг.
Том - хороший сосед.	Том хорз сыхаг у.
Он хороший врач.	Уый хорз дохтыр у.
Я хорошо вижу.	Уынын хорз.
Люди здесь хорошие.	Амы адæм хорз сты.
Это хорошая новость?	Хорз хабар у?
Руководство республики обсудило план принятия мер против кризиса.	Кризисы ныхмæ мадзæлттæ аразыны пъланыл ныхас кодта республикæйы разамынд.
Они восстали против врага.	Сыстадысты знаджы ныхмæ.
С праздником вас!	Бæрæгбоны хорзæх уæ уæд!
Она говорит по-русски.	Уый уырыссагау дзуры.
Я не согласен.	Разы нæ дæн.
Куда она шла?	Кæдæм цыдис?
Я из России.	Æз дæн Уæрæсейæ.
Это имя мне, к сожалению, незнакомо.	Ацы ном хъыгагæн нæ зонын.
