Помогите мне его отодвинуть.	Help me push it.
Не позволяй никому тобой пользоваться.	Don't let people take advantage of you.
Том сказал мне, что не голоден.	Tom told me he wasn't hungry.
Почему Том сегодня в таком хорошем настроении?	Why is Tom in such high spirits today?
Я купил те.	I bought those.
Следи за багажом.	Watch your luggage.
Том вряд ли проиграет.	Tom is unlikely to lose.
На этот вопрос трудно ответить.	It's difficult to answer this question.
Угадайте, сколько мне лет.	Guess how old I am.
Том забыл выключить свет.	Tom forgot to turn off the light.
Перестань ковыряться в носу.	Stop picking your nose.
Думаю, мне лучше не знать.	I think I'd rather not know.
Нам нужен ваш совет.	We need your advice.
Это имеет какое-то отношение к Тому?	Does this have anything to do with Tom?
Я вежливо отклонил приглашение Тома.	I politely declined Tom's invitation.
Полиция проводит расследования.	Police investigations are ongoing.
Отнеси его наверх.	Take it upstairs.
Они придут.	They'll come.
Это не вам.	This is not for you.
Я показал Тому, кто здесь главный.	I showed Tom who's boss.
Никогда об этом актёре не слышал.	I've never heard of this actor.
Было солнечно и тепло.	It was sunny and warm.
Том нашёл Мэри работу.	Tom found Mary a job.
Мне надоело каждый день есть одно и то же.	I'm sick of eating the same thing every day.
Том и Мэри встречаются?	Are Tom and Mary dating?
Вы очень похожи на Тома.	You're a lot like Tom.
Я готов к следующему шагу.	I'm ready for the next step.
Откуда Том знал, куда мы едем?	How did Tom know where we were going?
Тому понравилось работать на ферме.	Tom enjoyed working on the farm.
Это совсем не нормально.	This isn't normal at all.
Завтра у меня занятие йогой.	I have a yoga class tomorrow.
Том работал один?	Was Tom working alone?
Как Том туда попал?	How did Tom get there?
Обе собаки спят.	Both dogs are asleep.
Я спросил у него, почему он такой грустный.	I asked him why he is so sad.
Ты знаешь, кто украл у Тома ноутбук?	Do you know who stole Tom's laptop?
Он проезжал мимо на велосипеде и услышал крики о помощи.	He was passing by on his bicycle when he heard a cry for help.
Где Том взял этот костюм?	Where did Tom get that suit?
Стол сделан из дерева.	The table is made of wood.
