Встретимся в пять.	Фе’мбæлæм фондз сахатыл.
Почему он ему этого не говорит?	Цæмæнæ мын æй дзуры?
Не знаю, как ты, а я уже ничего не понимаю.	Нæ зонын , ды куыд , фæлæ æз ницы мбарын.
Мы купили квартиру недавно.	Мах ибон фатер балхæтам.
Болван!	Гуымыдза!
Почему ты не ищешь работу?	Куыст цæуылнæ нæ агурыс?
Спасибо, что пришли встретить меня.	Бузныг ,кæй рацыдыстут мæ размæ.
Том на строгой диете.	Том карз диетæйыл бады.
Нам следует читать как можно больше книг.	Махæн хъæуы фылдæр чингуытæ кæсын.
Кому ты написал письмо?	Кæмæн ныффыстæй писмо?
Я не смог разбудить Тома.	Мæ бон не’ си Томы райхъал кæнын.
Мы рисуем животных.	Мах цæрæгойты ныв кæнæм.
Жалко.	Æвгъау.
А почему нет?	Цæмæннæ?
Том сказал, это, мол, просто прикол.	Том загъта, уый дам хъынджылæг у .
Мы всё купили.	Мах алцыдæр балхæдтам.
Так пойдем вместе, я на заводе "Бином" работаю.	Уæдæ цом иумæ, æз та завод "Бином"-ы кусын.
Я не тупой.	Æз къуырма нæ дæн .
Ты когда-нибудь ел помидоры с сахаром?	Искуы хордтай помидор сæкæримæ?
Хочешь рыбы?	Кæсаг дæ хъæуы?
Мои друзья идут на работу, и мне надо их догнать.	Ме 'мбæлттæ куыстмæ фæцæуынц, æмæ мæ уыдон баййафын хъæуы.
Знания собирались долгими эпохами.	Зонындзинæдтæ бирæ фæлтæртæ фембырд кодтой.
Том ест больше, чем я.	Том мæнæй фылдæр хæры.
Слишком поздно.	Æгæр рæгмæ у .
Хочешь заплатить прямо сейчас или попозже?	Ерын дæ фæнды бафидын æви стæ?
Том лжет.	Том сайгæ кæны .
Я никогда не изучал украинский.	Украинаг ахуыр никуы нæ кодтон.
Они восстали против врага.	Сыстадысты знаджы ныхмæ.
Я ничего не говорила.	Æз ницы дзырдтон.
Мы не напугались.	Мах нæ фæтарстыстæм.
Ты мне сказал никому об этом не говорить.	Ды мын загътай цæмæй макæмæн дзурон уый тыххæй .
А почему нет?	Цæмæннæ?
Покажи Тому журнал.	Томӕн журнал равдис.
Я узнал твой секрет.	Æз дын базыдтон дæ сусæг .
Том строит новый дом.	Том амайы ног хæдзар.
Дорога	Фæндаг
Ты слишком быстро идёшь.	Гæр тагъд цæуыс.
Много чего он мне наговорил.	Алцыппæт ныхæстæ мын фæккодта.
Слишком много болтаешь.	Æгæр бирæ дзæнгæда цæгъдыс.
Слушай!	Байхъус!
Думаешь, у Тома хватит денег, чтобы это купить?	Куыд хъуыды кæныс, Томæн сфаг уызæн хса цæмæй ай балхæнын?
Я вернулась.	Æз фæстæмæ æрбацыдтæн.
Том, Мэри, Джон и Элис пришли сюда вместе.	Том, Мэри, Джон æмæ Элис иумæ æрбацыдысты.
Том — отец невесты.	Том усагы фыд у.
Вы можете мне его завернуть?	Уæ бон у мæнæн æй батухын?
Сначала я ему не поверил.	Фыццыгæй йыл нæ баууæндыдтæн.
Том робкий.	Том нæуæндар у.
Солдат исполнял приказ командира.	Салдат къамандиры приказ æхæст кодта.
Я любил их.	Ӕз цӕ уарзтон.
Давайте я расскажу вам, как это можно сделать.	Цæйут æз уын радзурон, куыдæй ис гæнæн саразын.
Он его нашёл.	Уый йæ ссардта.
Ты сам затеял этот разговор.	Ды дæхæдæг рафæнд кодтай ацы ныхас.
Том сказал, это, мол, просто прикол.	Том загъта, уый дам хъынджылæг у .
Прощайтесь.	Хæрзбон зæгъут.
Я должен выучить французский язык.	Æз хъуамæ сахуыр кæнон французаг æвзаг.
Часы	Сахатмæ
Давно её нет?	Рагæй нæй?
Простых ответов не существует.	Хуымæтæг дзуаппытæ нæй.
У тебя есть время пообедать?	Сихор бахæрыны рæстæг дын ис ?
Если хочешь, можешь остаться здесь.	Кæддæ фæнды, уæд ам æрлæу .
Том - игрок.	Том хъазæг у.
Том каждый день гулял с собакой.	Том алы бон йæ куыдзимæ тезгъо кæны.
Родители назвали ребёнка Акира.	Ныййырджытæ сывæрдтой сæ сывæллоныл Акира.
Вы пробовали этот торт?	Ацы торт апроб кодтай?
Обещаю.	Ныхас дæттын.
Том строит новый дом.	Том амайы ног хæдзар.
Побрейся.	Дæхи адас.
Я совсем не понимаю его идеи.	Æз æппындæр не 'мбарын йæ идейæ.
Как говорят осетинам?	Куыд фæзæгъынц ирон адæммæ?
Шутишь!	Хъынджылæг кæныс!
У меня есть для тебя сообщение от неё.	Мæнмæ дын ис сообщени уымæй.
Нас ждало удивительное открытие.	Диссаджы раргом нæм æнхъæлмæ кастис .
Меня проводили до моего места.	Мæ бынатмæ мæ ахизын кодтой.
Ты и я никогда не согласимся.	Æз æмæ ды иу дзырд мæ никуы рцæудзыстæм.
Мне нельзя курицу.	Мæнæн нæй гæнæн карк.
Я отправила их домой.	Хæдзармæ сæ арвыстон.
Том живёт с отцом в Бостоне.	Том йæ фыдимæ цæры Бостоны .
Том строит домик из спичек.	Том спичкæтæй хæдзар аразы.
Ответьте на вопрос.	Дзуапп раттут фарстайæн .
Мы вместе много сделали, но предстоит сделать ещё больше.	Иумæ бирæ скодтам, фæлæ бирæ фылдæр сканын хъæуы.
Том теперь бизнесмен.	Том ныр бизнесмен у.
Я сказал тебе, чтобы ты не разговаривал с Томом.	Æз дын загътон ,цæмæй Томимæ ма дзурай.
Гроб был пуст.	Марды чырын афтид уыди.
Давайте за это выпьем.	Цæйут уый тыххæй бануазæм .
Без знаний человек не может жить.	Æнæ зонындзинæдтæй адæймаджы бон нал у цæрын.
Думаю, вы можете помочь им.	Хъуыды кæнын, сымахæн уæ бон суыдзæним уыдонæн баххуыс кæнын.
Прекратите орать!	Мауал хъæр кæнут!
Ты нас спас.	Ды мах фе’рвæзын кодтай.
Я тебя не искал.	Æз дæ агургæ нæ кодтон.
Мы с ним её боимся.	Мах дзы тæрсгæ кæнæм .
Хорошая идея!	Хорз идейæ!
Обе его сестры красивы.	Йӕ дыууӕ хойы рӕсугъд сты.
Спите?	Фынæй кæнут?
Я ревнивая.	Æз дæн æхсайгæзæрдæ.
 Почему ты меня одного в тишине не можешь оставить?	Иууыл мæ æнцад цæуылнæ ныууадзыс?
Том сказал мне, что споёт.	Том мын загъта, кæй азардзæнис уый.
Я хожу в летнюю школу.	Æз сæрды скъоламæ цæуын.
Заказываем?	Заказ кæнæм?
Я бы хотел, чтобы ты сделал то, что тебе говорят.	Мæн фæндит, цæмæй ды саразай , цы дын дзурынц æуый.
Во Владикавказе.	Дзæуджыхъæуы.
Где я мог потерять очки?	Кæм фесæфтон мæ очкитæ?
Кто там был прошлой ночью?	Читæ уыд уцы æхсæв?
Я собирался раскрыть свой секрет.	Ыз къомæ радзурон мæ сусæгдзинад
Я слушаю музыку, а вы?	Ыз хъусын зарæгмæ, сымах та?
Незачем торопиться. У нас полно времени.	Мæ тагъд кæнут. Бирæ рæстæг нам и
Вы действительно испугались?	Цæг фæтæрстут?
Ты её узнал?	Базыдтайа?
Откуда вы знаете, что Том это сделал?	Том æй кæй сарызта, уый кæцæй зоныс?
У Тома всё в порядке?	Томæн алцыдæр дзабах у?
Ты задаёшь вопрос неправильно.	Дæ фарста раст нæ дæттыс
Не снимайте рубашку.	Дæ уæллаг ма ралас
Ты уже в Америке?	Америкайы дæ?
