Как тебя зовут?	Дæ ном куыд хуыйны?
Меня зовут Алан.	Мæ ном хуыйны Алан.
Чей ты сын?	Кæй лæппу дæ?
Санаеа Ацамаза.	Санаты Ацæмæзы.
Где ты учишься?	Кæм ахуыр кæныс?
В пятьдесят седьмой школе города Владикавказ.	Дзæуджыхъæуы фæндзæм астæуккаг скъолайы.
В каком классе ты учишься?	Кæцы къласы ахуыр кæныс?
Я учусь в девятом классе.	Æз ахуыр кæнын фарæстæм къласы.
В какой класс ты ходишь?	Кæцы къласмæ цæуыс?
В девятый класс.	Фарæстæм къласмæ.
Чем ты занят?	Цæмæй кусыс?
Изучаю науку.	Наукон кусæгæй.
Где ты живешь?	Кæм цæрыс?
Во Владикавказе.	Дзæуджыхъæуы.
На какой улице ты живешь?	Кæцы уынгыл цæрыс?
Я живу на улице Гугкаева.	Æз цæрын Гугкайы-фырты уынгыл.
Сколько тебе лет?	Цал азы дыл цæуы?
Мне 15 лет.	Æхсæрдæс азы.
Кто не пришел сегодня в школу?	Чи не 'рбацыд абон скъоламæ?
Кого спросил учитель?	Кæй бафарста ахуыргæнæг?
Что говорит дежурный?	Цавæр дзуапп радта радгæс?
Где лежал Хетаг когда болел?	Кæм хуыссыд Хетæг рынчынæй?
Кто из детей знает адрес Хетага?	Сывæллæттæй чи зыдта Хетæджы адрис?
Кто дал учителю телефонный номер Хетага?	Чи радта ахуыргæнæгæн Хетæджы телефоны номыр?
Куда позвонил учитель?	Кæдæм бадзырдта ахуыргæнæг телефонæй?
Когда дети пошли проведать больного?	Кæд ацыдысты сывæллæттæ рынчынфæрсæг?
Кому был приятен приход детей?	Кæмæн уыд æхсызгон сывæллæтты æрбацыд?
Скоро моя сестра отправится учиться в Москву.	Тагъд рæстæджы мæ хо Мæскуымæ цæудзæн ахуыр кæнынмæ.
Учитель объясняет детям новый урок.	Ахуыргæнæг ахуыргæнинæгтæн амоны ног урок.
Я очень хочу учить зверей.	Мæн тынг фæнды сырдтæ ахуыр кæнын.
