Russia,Ossetian
Один раз в жизни я делаю хорошее дело... И оно бесполезно.,For once in my life I'm doing a good deed... And it is useless.
Давайте что-нибудь попробуем!,Let's try something.
Мне пора идти спать.,I have to go to sleep.
Что ты делаешь?,What are you doing?
Что ты делаешь?,What do you make?
Что ты делаешь?,What're you doing?
Что это?,What is it?
Что это?,What is this?
Что это?,What's this?
Что это?,What is that?
"Сегодня 18 июня, и это день рождения Мюриэл!",Today is June 18th and it is Muiriel's birthday!
"С днём рождения, Мюриэл!","Happy birthday, Muiriel!"
Мюриэл сейчас 20.,Muiriel is 20 now.
"Пароль ""Muiriel"".","The password is ""Muiriel""."
У меня нет слов.,I'm at a loss for words.
У меня нет слов.,Words fail me.
У меня нет слов.,I am at a loss for words.
У меня нет слов.,I have no words.
"Не знаю, что и сказать.",I just don't know what to say.
Это был злой кролик.,That was an evil bunny.
Это был злой кролик.,That was an angry bunny.
Это новая фотография?,Is it a recent picture?
"Я не знаю, будет ли у меня время.",I don't know if I'll have time.
Микрофон по какой-то причине до этого не работал.,For some reason the microphone didn't work earlier.
"Каждый, в итоге, должен учиться сам.",Everyone must learn on their own in the end.
Учиться нельзя заставлять. Учёбу нужно поощрять.,Learning should not be forced. Learning should be encouraged.
"Нелегко решать, что правильно, а что нет, но приходится это делать.","It is a difficult task, choosing what is ""right"" or ""wrong"", but you have to do it."
Это ничего не изменит.,That won't change anything.
Это ничего не изменит.,It won't change anything.
Я зарабатываю сто евро в день.,I make €100 a day.
"Я, может, скоро сдамся и вместо этого пойду вздремну.",I may give up soon and just nap instead.
Этого не случится.,That won't happen.
Иногда он очень странен.,Sometimes he can be a strange guy.
Я постараюсь не мешать тебе учиться.,I'll do my best not to disturb your studying.
"Я могу только догадываться, так ли это и для всех остальных.",I can only wonder if this is the same for everyone else.
"Я полагаю, это будет выглядеть несколько иначе, когда ты подумаешь об этом в долгосрочном плане.",I suppose it's different when you think about it over the long term.
Не беспокойся.,Don't worry.
Я скучаю по тебе.,I miss you.
"Я позвоню им завтра, когда вернусь домой.",I'll call them tomorrow when I come back.
"Я позвоню им завтра, когда вернусь домой.",I'll call them tomorrow when I return home.
Мне всегда больше нравились таинственные персонажи.,I always liked mysterious characters more.
Тебе лучше поспать.,You should sleep.
Я пойду.,I'm going to go.
Я пойду.,I'll go.
Я сказал им послать мне ещё один билет.,I told them to send me another ticket.
У тебя не хватает терпения на меня.,You're so impatient with me.
Я так жить не могу.,I can't live that kind of life.
Когда-то я хотел быть астрофизиком.,I once wanted to be an astrophysicist.
Я никогда не любил биологию.,I never liked biology.
