Цæуыл худыс?	Чего ты смеёшься?
Ацы кард тынг цыргъ у.	Этот нож очень острый.
Гæдыйæн фараст царды ис.	У кошки девять жизней.
Абон у асæст.	Сегодня облачно.
Уый йæ знæмы раздзог уыдис 35 азы дæргъы.	Он был вождём своего племени 35 лет.
Мæнмæ афтæ кæсы, æмæ фæрынчын и.	Мне кажется, что она заболела.
Уырыссагау иттæг хорз дзуры.	Он прекрасно говорит по-русски.
Райсом уардзæн?	Завтра будет идти дождь?
Хæстæгдæр афтек кæм ис?	Где ближайшая аптека?
Кæй чиныг у?	Чья это книга?
Йæ цæстытæ худынц.	Её глаза смеются.
Æгайтма майрæмбон у.	Наконец пятница.
Æз дæн электрик.	Я электрик.
Рувас æмæ арс цардысты иумæ.	Лиса и медведь жили вместе.
Фæстæмæ йæ ахæссут.	Отнесите его обратно.
Фæстæмæ йæ ахæссут.	Отнесите её обратно.
Алы чиныгæн ис йæхи хъысмæт.	У каждой книги своя судьба.
Ерыс кæд райдайдзæнис?	Когда начнётся состязание?
Мæ зæрдæмæ цæуы дæ хæдтулгæ.	Мне нравится твоя машина.
Æгæр бирæ дзæнгæда цæгъдыс.	Слишком много болтаешь.
Дæ ныхæстæ кардау цæвынц.	Твои слова больно ранят.
Демæ тох куы кодта, уæд йæ зæрдæ тъæппытæ хаудта.	Когда он боролся с тобой, его сердце разрывалось пополам.
Уый æнкъардта рис æмæ тæригъæд.	Он испытывал боль и сострадание.
Ныр æз дæр уый æнкъарын.	Теперь я чувствую то же самое.
Æхсызгон мын у, хъуыддаг афтæ кæй фæцис.	Я рад, что всё кончилось именно так.
Уый ныхмæ цасфæнды дæр лæууæм, уæддæр уый факт у.	Как бы мы ни противились этому — это факт.
Мæ сæр нал риссы.	У меня больше не болит голова.
Æппæт адæмтæн арæзт æрцыди скъолатæ, фыссынад, æрцыд сæм рухс æмæ ахуырад.	Для всех народов были созданы школы, письменность, к ним пришли свет и образование.
Скъола куыста хæсты азты дæр, ахуыргæнджытæ афоныл истой сæ мызд.	Школа работала и в военные годы, учителя вовремя получали зарплату.
Уый æнахуыр цыдæр у.	Это странно.
Сылгоймаг дæн.	Я женщина.
Йæ ном мæ ферох и.	Я забыл его имя.
Йæ ном мæ ферох и.	Я забыл её имя.
Уыдтæн Нью-Йорчы фыццаг хатт.	Я впервые был в Нью-Йорке.
Æхца мæм нæй, фæлæ мæм ис бæллицтæ.	У меня нет денег, но есть мечты.
Кæд дæ фæнды æвзаг хорз базонын, уæд дæхæдæг æй ахуыр кæн.	Если хочешь хорошо изучить язык, изучи его сам.
Байхъус!	Слушай!
Уый йын бамбарын кодтон.	Я объяснил ему это.
Мад йæ фырты фыстæг цалдæр хатты фæкасти.	Мать несколько раз перечитала письмо сына.
Алцыдæр зыгъуыммæ рауади.	Всё получилось наоборот.
Æнхъæлдæн, æмæ ногæй афæлварын нæ хъæуы.	Думаю, нам надо попробовать ещё раз.
Йæ мард пъолыл куы федтон, уайтагъд пъæлицæмæ фæдзырдтон.	Я вызвала полицию, как только увидела на полу его труп.
Мæ фыд ацыдис Китаймæ.	Мой отец поехал в Китай.
Кæдæм цыдис?	Куда он шёл?
Разы нæ дæн.	Я не согласна.
Æз дæр сымахау нæ фынæй кодтон уыцы уæззау бонты.	Я, как и вы, не спала в эти тяжёлые дни.
Æз дæр сымахау нæ фынæй кодтон уыцы уæззау бонты.	Я, как и вы, не спал в эти тяжёлые дни.
Чидæр æрбадзырдта.	Кто-то позвонил.
Сбад, дæ хорзæхæй.	Сядьте, пожалуйста.
Уый ды дæ фыны дæр нæ федтай.	Такого ты не видел даже во сне.
Уый ды дæ фыны дæр нæ федтай.	Такого ты не видела даже во сне.
Æгæр бирæ уыдысты.	Их было слишком много.
Æгæр бирæ сты.	Их слишком много.
Хорз.	Хорошо.
Хорз фарст.	Хороший вопрос.
Хорз идейæ!	Хорошая идея!
Тынг хорз.	Очень хорошо.
Хорз. Хатыр.	Хорошо. Прости.
Нæхимæ хорз у.	Хорошо дома.
Хорз лæппу.	Хороший мальчик.
Фæндаг хорз у?	Дорога хорошая?
Алцыппæт у хорз.	Всё хорошо.
Ай хорз у.	Этот хороший.
Хæринаг хорз у.	Еда хорошая.
Хорз фиппаинаг у.	Хорошее замечание.
Хорз хъуыдыйад у.	Хорошее предложение.
Цард у хорз.	Жизнь хороша.
Хорз дзырдуат мæ фæнды.	Хочу хороший словарь.
Эми хорз чызг у.	Эми — хорошая девочка.
Уый у хорз оратор.	Он хороший оратор.
Твиттер фаг хорз нæу.	Twitter недостаточно хорош.
Хорз. Разы дæн.	Хорошо. Я согласен.
Хорз. Ды та?	Хорошо. А ты?
Алцыппæт уыдзæни хорз.	Всё будет хорошо.
Дæн хорз таксист.	Я хороший таксист.
Тынг хорз, бузныг.	Очень хорошо, спасибо.
Том хорз сыхаг у.	Том - хороший сосед.
Уый хорз дохтыр у.	Он хороший врач.
Уынын хорз.	Я хорошо вижу.
Амы адæм хорз сты.	Люди здесь хорошие.
Хорз хабар у?	Это хорошая новость?
Кризисы ныхмæ мадзæлттæ аразыны пъланыл ныхас кодта республикæйы разамынд.	Руководство республики обсудило план принятия мер против кризиса.
Сыстадысты знаджы ныхмæ.	Они восстали против врага.
Бæрæгбоны хорзæх уæ уæд!	С праздником вас!
Уый уырыссагау дзуры.	Она говорит по-русски.
Разы нæ дæн.	Я не согласен.
Кæдæм цыдис?	Куда она шла?
Æз дæн Уæрæсейæ.	Я из России.
Ацы ном хъыгагæн нæ зонын.	Это имя мне, к сожалению, незнакомо.
