чего ты смеёшься?	цаеуыл худыс?
этот нож очень острый.	ацы кард тынг цыргъ у.
у кошки девять жизней.	гаедыйаен фараст царды ис.
сегодня облачно.	абон у асаест.
он был вождём своего племени 35 лет.	уый йае знаемы раздзог уыдис 35 азы даергъы.
мне кажется, что она заболела.	маенмае афтае каесы, аемае фаерынчын и.
он прекрасно говорит по-русски.	уырыссагау иттаег хорз дзуры.
завтра будет идти дождь?	райсом уардзаен?
где ближайшая аптека?	хаестаегдаер афтек каем ис?
чья это книга?	каей чиныг у?
её глаза смеются.	йае цаестытае худынц.
наконец пятница.		аегайтма майраембон у.
я электрик.	аез даен электрик.
лиса и медведь жили вместе.	рувас аемае арс цардысты иумае.
отнесите его обратно.	фаестаемае йае ахаессут.
отнесите её обратно.	фаестаемае йае ахаессут.
у каждой книги своя судьба.	алы чиныгаен ис йаехи хъысмает.
когда начнётся состязание?	ерыс каед райдайдзаенис?
мне нравится твоя машина.	мае заердаемае цаеуы дае хаедтулгае.
слишком много болтаешь.	аегаер бирае дзаенгаеда цаегъдыс.
твои слова больно ранят.	дае ныхаестае кардау цаевынц.
когда он боролся с тобой, его сердце разрывалось пополам.	демае тох куы кодта, уаед йае заердае тъаеппытае хаудта.
он испытывал боль и сострадание.	уый аенкъардта рис аемае таеригъаед.
теперь я чувствую то же самое.	ныр аез даер уый аенкъарын.
я рад, что всё кончилось именно так.	аехсызгон мын у, хъуыддаг афтае каей фаецис.
как бы мы ни противились этому — это факт.	уый ныхмае цасфаенды даер лаеууаем, уаеддаер уый факт у.
у меня больше не болит голова.	мае саер нал риссы.
для всех народов были созданы школы, письменность, к ним пришли свет и образование.	аеппает адаемтаен араезт аерцыди скъолатае, фыссынад, аерцыд саем рухс аемае ахуырад.
школа работала и в военные годы, учителя вовремя получали зарплату.	скъола куыста хаесты азты даер, ахуыргаенджытае афоныл истой сае мызд.
это странно.	уый аенахуыр цыдаер у.
я женщина.	сылгоймаг даен.
я забыл его имя.	йае ном мае ферох и.
я забыл её имя.	йае ном мае ферох и.
я впервые был в нью-йорке.	уыдтаен нью-йорчы фыццаг хатт.
у меня нет денег, но есть мечты.	аехца маем наей, фаелае маем ис баеллицтае.
если хочешь хорошо изучить язык, изучи его сам.	каед дае фаенды аевзаг хорз базонын, уаед даехаедаег аей ахуыр каен.
слушай!	байхъус!
я объяснил ему это.	уый йын бамбарын кодтон.
мать несколько раз перечитала письмо сына.	мад йае фырты фыстаег цалдаер хатты фаекасти.
всё получилось наоборот.	алцыдаер зыгъуыммае рауади.
думаю, нам надо попробовать ещё раз.	аенхъаелдаен, аемае ногаей афаелварын нае хъаеуы.
я вызвала полицию, как только увидела на полу его труп.	йае мард пъолыл куы федтон, уайтагъд пъаелицаемае фаедзырдтон.
мой отец поехал в китай.	мае фыд ацыдис китаймае.
куда он шёл?	каедаем цыдис?
я не согласна.	разы нае даен.
я, как и вы, не спала в эти тяжёлые дни.	аез даер сымахау нае фынаей кодтон уыцы уаеззау бонты.
я, как и вы, не спал в эти тяжёлые дни.	аез даер сымахау нае фынаей кодтон уыцы уаеззау бонты.
кто-то позвонил.	чидаер аербадзырдта.
сядьте, пожалуйста.	сбад, дае хорзаехаей.
такого ты не видел даже во сне.	уый ды дае фыны даер нае федтай.
такого ты не видела даже во сне.	уый ды дае фыны даер нае федтай.
их было слишком много.	аегаер бирае уыдысты.
их слишком много.	аегаер бирае сты.
хорошо.	хорз.
хороший вопрос.	хорз фарст.
хорошая идея!	хорз идейае!
очень хорошо.	тынг хорз.
хорошо. прости.	хорз. хатыр.
хорошо дома.	наехимае хорз у.
хороший мальчик.	хорз лаеппу.
дорога хорошая?	фаендаг хорз у?
всё хорошо.	алцыппает у хорз.
этот хороший.	ай хорз у.
еда хорошая.	хаеринаг хорз у.
хорошее замечание.	хорз фиппаинаг у.
хорошее предложение.	хорз хъуыдыйад у.
жизнь хороша.	цард у хорз.
хочу хороший словарь.	хорз дзырдуат мае фаенды.
эми — хорошая девочка.	эми хорз чызг у.
он хороший оратор.	уый у хорз оратор.
twitter недостаточно хорош.	твиттер фаг хорз наеу.
хорошо. я согласен.	хорз. разы даен.
хорошо. а ты?	хорз. ды та?
всё будет хорошо.	алцыппает уыдзаени хорз.
я хороший таксист.	даен хорз таксист.
очень хорошо, спасибо.	тынг хорз, бузныг.
том - хороший сосед.	том хорз сыхаг у.
он хороший врач.	уый хорз дохтыр у.
я хорошо вижу.	уынын хорз.
люди здесь хорошие.	амы адаем хорз сты.
это хорошая новость?	хорз хабар у?
руководство республики обсудило план принятия мер против кризиса.	кризисы ныхмае мадзаелттае аразыны пъланыл ныхас кодта республикаейы разамынд.
они восстали против врага.	сыстадысты знаджы ныхмае.
с праздником вас!	баераегбоны хорзаех уае уаед!
она говорит по-русски.	уый уырыссагау дзуры.
я не согласен.	разы нае даен.
куда она шла?	каедаем цыдис?
я из россии.	аез даен уаераесейае.
это имя мне, к сожалению, незнакомо.	ацы ном хъыгагаен нае зонын.
